user_id,cluster,cluster_name
729,1,活动互动/沉睡/回流/高活跃
730,0,活动互动
731,1,活动互动/沉睡/回流/高活跃
732,1,活动互动/沉睡/回流/高活跃
733,1,活动互动/沉睡/回流/高活跃
734,1,活动互动/沉睡/回流/高活跃
735,1,活动互动/沉睡/回流/高活跃
736,1,活动互动/沉睡/回流/高活跃
737,1,活动互动/沉睡/回流/高活跃
738,0,活动互动
739,1,活动互动/沉睡/回流/高活跃
740,1,活动互动/沉睡/回流/高活跃
741,1,活动互动/沉睡/回流/高活跃
742,0,活动互动
743,1,活动互动/沉睡/回流/高活跃
744,0,活动互动
745,0,活动互动
746,1,活动互动/沉睡/回流/高活跃
747,1,活动互动/沉睡/回流/高活跃
748,1,活动互动/沉睡/回流/高活跃
749,0,活动互动
750,1,活动互动/沉睡/回流/高活跃
751,1,活动互动/沉睡/回流/高活跃
752,1,活动互动/沉睡/回流/高活跃
753,1,活动互动/沉睡/回流/高活跃
754,1,活动互动/沉睡/回流/高活跃
755,1,活动互动/沉睡/回流/高活跃
756,0,活动互动
757,0,活动互动
758,0,活动互动
759,0,活动互动
760,1,活动互动/沉睡/回流/高活跃
761,1,活动互动/沉睡/回流/高活跃
762,1,活动互动/沉睡/回流/高活跃
763,0,活动互动
764,1,活动互动/沉睡/回流/高活跃
765,0,活动互动
766,0,活动互动
767,0,活动互动
768,1,活动互动/沉睡/回流/高活跃
769,1,活动互动/沉睡/回流/高活跃
770,1,活动互动/沉睡/回流/高活跃
771,0,活动互动
772,0,活动互动
773,1,活动互动/沉睡/回流/高活跃
774,0,活动互动
775,1,活动互动/沉睡/回流/高活跃
776,0,活动互动
777,1,活动互动/沉睡/回流/高活跃
778,1,活动互动/沉睡/回流/高活跃
779,1,活动互动/沉睡/回流/高活跃
780,1,活动互动/沉睡/回流/高活跃
781,0,活动互动
782,1,活动互动/沉睡/回流/高活跃
783,0,活动互动
784,0,活动互动
785,1,活动互动/沉睡/回流/高活跃
786,0,活动互动
787,0,活动互动
788,0,活动互动
789,0,活动互动
790,1,活动互动/沉睡/回流/高活跃
791,1,活动互动/沉睡/回流/高活跃
792,1,活动互动/沉睡/回流/高活跃
793,1,活动互动/沉睡/回流/高活跃
794,0,活动互动
795,0,活动互动
796,1,活动互动/沉睡/回流/高活跃
797,0,活动互动
798,1,活动互动/沉睡/回流/高活跃
799,1,活动互动/沉睡/回流/高活跃
800,1,活动互动/沉睡/回流/高活跃
801,1,活动互动/沉睡/回流/高活跃
802,1,活动互动/沉睡/回流/高活跃
803,1,活动互动/沉睡/回流/高活跃
804,1,活动互动/沉睡/回流/高活跃
805,1,活动互动/沉睡/回流/高活跃
806,1,活动互动/沉睡/回流/高活跃
807,1,活动互动/沉睡/回流/高活跃
808,1,活动互动/沉睡/回流/高活跃
809,0,活动互动
810,1,活动互动/沉睡/回流/高活跃
811,1,活动互动/沉睡/回流/高活跃
812,1,活动互动/沉睡/回流/高活跃
813,1,活动互动/沉睡/回流/高活跃
814,1,活动互动/沉睡/回流/高活跃
815,1,活动互动/沉睡/回流/高活跃
816,1,活动互动/沉睡/回流/高活跃
817,1,活动互动/沉睡/回流/高活跃
818,0,活动互动
819,0,活动互动
820,0,活动互动
821,0,活动互动
822,0,活动互动
823,1,活动互动/沉睡/回流/高活跃
824,1,活动互动/沉睡/回流/高活跃
825,0,活动互动
826,0,活动互动
827,1,活动互动/沉睡/回流/高活跃
828,0,活动互动
829,1,活动互动/沉睡/回流/高活跃
830,0,活动互动
831,1,活动互动/沉睡/回流/高活跃
832,1,活动互动/沉睡/回流/高活跃
833,1,活动互动/沉睡/回流/高活跃
834,1,活动互动/沉睡/回流/高活跃
835,1,活动互动/沉睡/回流/高活跃
836,1,活动互动/沉睡/回流/高活跃
837,0,活动互动
838,1,活动互动/沉睡/回流/高活跃
839,1,活动互动/沉睡/回流/高活跃
840,1,活动互动/沉睡/回流/高活跃
841,1,活动互动/沉睡/回流/高活跃
842,0,活动互动
843,1,活动互动/沉睡/回流/高活跃
844,0,活动互动
845,0,活动互动
846,1,活动互动/沉睡/回流/高活跃
847,0,活动互动
848,1,活动互动/沉睡/回流/高活跃
849,0,活动互动
850,1,活动互动/沉睡/回流/高活跃
851,0,活动互动
852,1,活动互动/沉睡/回流/高活跃
853,1,活动互动/沉睡/回流/高活跃
854,0,活动互动
855,0,活动互动
856,1,活动互动/沉睡/回流/高活跃
857,1,活动互动/沉睡/回流/高活跃
858,1,活动互动/沉睡/回流/高活跃
859,1,活动互动/沉睡/回流/高活跃
860,0,活动互动
861,1,活动互动/沉睡/回流/高活跃
